,alcohol,residual sugar,fixed acidity,pH,free sulfur dioxide,quality
0,8.8,20.7,7.0,3.0,45.0,0
1,9.5,1.6,6.3,3.3,14.0,0
2,10.1,6.9,8.1,3.26,30.0,0
3,9.9,8.5,7.2,3.19,47.0,0
4,9.9,8.5,7.2,3.19,47.0,0
5,10.1,6.9,8.1,3.26,30.0,0
6,9.6,7.0,6.2,3.18,30.0,0
7,8.8,20.7,7.0,3.0,45.0,0
8,9.5,1.6,6.3,3.3,14.0,0
9,11.0,1.5,8.1,3.22,28.0,0
10,12.0,1.45,8.1,2.99,11.0,0
11,9.7,4.2,8.6,3.14,17.0,0
12,10.8,1.2,7.9,3.18,16.0,0
13,12.4,1.5,6.6,3.54,48.0,0
14,9.7,19.25,8.3,2.98,41.0,0
15,11.4,1.5,6.6,3.25,28.0,0
16,9.6,1.1,6.3,3.24,30.0,0
18,11.3,1.1,7.4,3.12,17.0,0
19,9.5,7.5,6.5,3.22,34.0,0
20,12.8,1.2,6.2,3.33,29.0,1
21,11.0,2.9,6.4,3.17,19.0,0
22,10.5,1.7,6.8,3.47,41.0,1
23,9.3,1.5,7.6,3.05,25.0,0
24,10.0,1.3,6.6,3.42,16.0,0
25,10.4,9.0,7.0,3.25,56.0,0
26,10.0,1.0,6.9,3.45,35.0,0
27,10.5,8.7,7.0,3.38,32.0,0
28,11.6,1.1,7.4,3.19,17.0,0
29,12.3,2.0,7.2,3.1,37.0,0
30,10.0,10.4,8.5,3.2,20.0,0
31,10.2,1.1,8.3,3.47,7.0,0
32,10.8,2.05,7.4,3.19,31.0,0
34,10.2,14.95,5.8,3.37,22.0,0
35,12.8,1.7,7.3,3.19,21.0,0
36,10.0,5.4,6.5,3.24,25.0,0
37,11.2,1.2,7.0,3.13,38.0,0
38,8.6,17.95,7.3,3.21,45.0,0
39,8.6,17.95,7.3,3.21,45.0,0
40,9.4,2.5,6.7,3.11,63.0,0
41,9.4,2.9,6.7,3.1,63.0,0
42,9.8,7.4,7.0,3.13,28.0,0
43,9.5,1.4,6.6,3.22,33.0,0
44,9.5,1.4,6.7,3.24,33.0,0
45,10.0,1.4,7.4,3.16,38.0,0
46,9.8,4.4,6.2,3.27,63.0,0
47,9.8,4.4,6.2,3.25,62.0,0
48,9.8,7.4,7.0,3.13,28.0,0
49,9.8,5.0,6.9,3.36,32.0,0
50,11.7,1.6,7.2,3.35,31.0,0
51,11.0,1.1,6.6,3.34,39.0,0
52,10.9,1.1,6.2,3.32,21.0,0
53,10.9,1.0,6.4,3.31,39.0,0
55,11.0,1.3,6.9,3.13,29.0,0
56,9.6,11.9,7.2,3.09,37.0,0
57,8.9,12.4,6.0,3.3,50.0,0
58,10.2,4.6,6.6,3.11,25.0,0
59,9.9,1.2,7.4,3.36,44.0,0
60,8.6,4.9,6.8,3.03,30.0,0
61,8.9,12.4,6.0,3.3,50.0,0
62,10.5,1.1,7.0,3.02,17.0,0
